method,k,silhouette_avg
weighted,55,0.03249066507861556
weighted,56,0.0350321406612533
weighted,57,0.03475558352610089
weighted,58,0.035142719626037926
weighted,59,0.03493155505478397
weighted,60,0.03270551369388201
weighted,61,0.03370517939644094
weighted,62,0.03416528915708965
weighted,63,0.03789225602742303
weighted,64,0.037268519510853616
weighted,65,0.03731804503610178
weighted,66,0.03747861659837414
weighted,67,0.03739661066548024
weighted,68,0.037128336742594005
weighted,69,0.036401017016581966
weighted,70,0.03554554825301105
weighted,71,0.03492593731455714
weighted,72,0.03512155187692386
weighted,73,0.03482376422956583
weighted,74,0.033841051381495804
weighted,75,0.03340520746993022
weighted,76,0.032150054842902835
weighted,77,0.032841997270252825
weighted,78,0.03207453147243174
weighted,79,0.03183278260872791
weighted,80,0.03167332874041886
weighted,81,0.031432493400868164
weighted,82,0.03112380937135325
weighted,83,0.03115521328138056
weighted,84,0.03117763724521553
weighted,85,0.031208124711379088
weighted,86,0.03072647157546216
weighted,87,0.030696603968811957
weighted,88,0.030366171123262706
weighted,89,0.03097915310783131
weighted,90,0.03161477604103367
weighted,91,0.03119473537745864
weighted,92,0.03582716640659272
weighted,93,0.036347084688734974
weighted,94,0.036695907606229435
weighted,95,0.03490023470938362
weighted,96,0.036004605673393114
weighted,97,0.03573793025589233
weighted,98,0.03579943205742578
weighted,99,0.03544509538923554
