method,k,WCSS,BCSS,CH_index
weighted,79,35257.09053082159,11341.12179441519,9.84802774359416
weighted,80,35206.640064910156,11391.57226032662,9.776522785699843
weighted,81,35174.03511680531,11424.17720843147,9.68686373655998
weighted,82,35140.248177107365,11457.964148129415,9.60076852917105
weighted,83,35092.70253812164,11505.509787115141,9.5319432874329
weighted,84,35056.49797439342,11541.714350843358,9.452522988198028
weighted,85,34995.27399694947,11602.9383282873,9.40201753432599
weighted,86,34951.23137643676,11646.980948800014,9.33450631131788
weighted,87,34869.61376505774,11728.598560179036,9.308452579579816
weighted,88,34850.30383927877,11747.908485958005,9.217840209616568
weighted,89,34797.04768982019,11801.164635416584,9.164560634168682
weighted,90,34702.18645396321,11896.025871273556,9.155545730034088
weighted,91,34652.930319873594,11945.282005363168,9.100397629597575
weighted,92,34386.48037168321,12211.731953553537,9.268549181455036
weighted,93,34285.19895601871,12313.013369218044,9.267243284023133
weighted,94,34243.012734267686,12355.199590969063,9.20645824679394
weighted,95,34201.91740734499,12396.29491789176,9.1459385079041
weighted,96,34122.55153234866,12475.66079288809,9.12493980839239
weighted,97,34101.929506494576,12496.282818742175,9.046467063658215
weighted,98,34056.20991589163,12542.002409345127,8.994227993400164
weighted,99,34032.62726627101,12565.58505896575,8.921602294494447
